RUN,BATCH_SIZE,LR,val_loss,val_accuracy,val_AUC,accuracy,NEURONS,AUC,loss,EPOCHS
13,512,0.003,3.729229732231195,0.7582339,0.5,0.75574386,[512; 1024; 1024; 512],0.5,3.767638231907368,300
13,512,0.003,3.7292297876535567,0.7582339,0.5,0.75574386,[512; 1024; 1024; 512],0.5,3.767638267889977,350
13,512,0.003,3.7292299063507297,0.7582339,0.5,0.75574386,[512; 1024; 1024; 512],0.5,3.7676381925954066,400
13,512,0.003,3.729229815194032,0.7582339,0.5,0.75574386,[512; 1024; 1024; 512],0.5,3.7676382375843396,450
13,512,0.003,3.7292297930023266,0.7582339,0.5,0.75574386,[512; 1024; 1024; 512],0.5,3.767638182123599,500
13,512,0.003,3.7292298176977114,0.7582339,0.5,0.75574386,[512; 1024; 1024; 512],0.5,3.7676382226876246,550
13,512,0.003,3.7292297920918975,0.7582339,0.5,0.75574386,[512; 1024; 1024; 512],0.5,3.7676382690282173,600
14,512,0.0001,0.5649620609806943,0.7594272,0.5883991,0.65292114,[512; 1024; 1024; 512],0.50718486,1.1859175132817312,0
14,512,0.0001,0.559068198249562,0.7680191,0.7380348,0.7609954,[512; 1024; 1024; 512],0.6670644,0.5257873690917269,50
14,512,0.0001,0.49680866287545544,0.79379475,0.7931584,0.783016,[512; 1024; 1024; 512],0.7480179,0.4801865391730693,100
14,512,0.0001,0.4690602488762439,0.80883056,0.808849,0.79674166,[512; 1024; 1024; 512],0.7814246,0.4551895415984966,150
14,512,0.0001,0.4515618411766316,0.8138425,0.81623477,0.8058722,[512; 1024; 1024; 512],0.79254186,0.4436164299439522,200
14,512,0.0001,0.4401737522680606,0.80883056,0.820102,0.81613654,[512; 1024; 1024; 512],0.81645834,0.4223668455469329,250
14,512,0.0001,0.4271673969266523,0.8138425,0.82498693,0.82192516,[512; 1024; 1024; 512],0.8292225,0.4092715310440034,300
14,512,0.0001,0.42599570031382306,0.81789976,0.82705075,0.8256251,[512; 1024; 1024; 512],0.8401625,0.39879115292854805,350
14,512,0.0001,0.42017497622312394,0.8157518,0.82788426,0.8315331,[512; 1024; 1024; 512],0.8505705,0.3852346110416496,400
14,512,0.0001,0.41537984665083144,0.8221957,0.8285346,0.8356508,[512; 1024; 1024; 512],0.862911,0.3717579628176,450
14,512,0.0001,0.41158343559233274,0.82315034,0.8303509,0.84507966,[512; 1024; 1024; 512],0.87671864,0.356294721297392,500
14,512,0.0001,0.40920385042636664,0.8267303,0.83226,0.84740704,[512; 1024; 1024; 512],0.8789831,0.35073908207353505,550
14,512,0.0001,0.4093603105988878,0.82840097,0.83044684,0.85074896,[512; 1024; 1024; 512],0.8887351,0.3396466287784334,600
15,512,0.00030000000000000003,0.6363939875350079,0.75656325,0.5334558,0.6610969,[512; 1024; 1024; 512],0.49342892,1.0673400802701087,0
15,512,0.00030000000000000003,0.48070288963420293,0.8004773,0.78979445,0.79119176,[512; 1024; 1024; 512],0.7699717,0.4639701244405241,50
15,512,0.00030000000000000003,0.45083321816596894,0.8171838,0.808119,0.8120189,[512; 1024; 1024; 512],0.81063074,0.42844786676243923,100
15,512,0.00030000000000000003,0.4297924652162201,0.81861573,0.8173415,0.82860893,[512; 1024; 1024; 512],0.8447046,0.39268487524166734,150
15,512,0.00030000000000000003,0.4291277991843394,0.8198091,0.81869686,0.8447813,[512; 1024; 1024; 512],0.87306166,0.360130264863355,200
15,512,0.00030000000000000003,0.4319934523902247,0.81933177,0.81788373,0.8557021,[512; 1024; 1024; 512],0.89015776,0.3369580390164226,250
15,512,0.00030000000000000003,0.43304136062578824,0.8207637,0.8180781,0.86781645,[512; 1024; 1024; 512],0.9033689,0.3164242307279861,300
15,512,0.00030000000000000003,0.43847741276950425,0.82100236,0.81745076,0.87473893,[512; 1024; 1024; 512],0.9179555,0.2956639521978647,350
15,512,0.00030000000000000003,0.4459892392300763,0.8207637,0.8184621,0.8804679,[512; 1024; 1024; 512],0.9227897,0.2856078028444132,400
15,512,0.00030000000000000003,0.4495469226046223,0.82004774,0.81295776,0.8884645,[512; 1024; 1024; 512],0.9330464,0.26683194807180893,450
15,512,0.00030000000000000003,0.4558722330163942,0.8126492,0.8126187,0.89067256,[512; 1024; 1024; 512],0.9370666,0.2618938496511634,500
